cards,class
"[70, 70, 288, 288, 436, 436, 501, 501, 687, 687, 812, 812, 886, 886, 899, 899, 1070, 1070, 1111, 1111, 1112, 1112, 1221, 324, 324, 362, 362, 453, 507, 507]",Demon Hunter
"[37, 57, 57, 64, 64, 81, 81, 82, 82, 117, 195, 243, 459, 459, 519, 519, 530, 530, 657, 657, 662, 662, 690, 697, 697, 768, 773, 1070, 350, 350]",Demon Hunter
"[57, 185, 185, 311, 311, 455, 459, 459, 530, 530, 575, 575, 697, 894, 894, 1070, 1111, 1111, 1221, 350, 350, 712, 712, 924, 924, 1019, 1019, 1243, 1254, 1253]",Demon Hunter
"[37, 37, 57, 64, 64, 195, 195, 243, 243, 662, 662, 773, 928, 928, 1070, 1070, 39, 39, 42, 92, 92, 107, 107, 237, 237, 449, 449, 777, 777, 782]",Demon Hunter
"[57, 60, 185, 195, 243, 357, 403, 415, 436, 459, 530, 595, 662, 697, 769, 812, 928, 1002, 1070, 1104, 1111, 1162, 1221, 213, 350, 453, 706, 940, 1213, 1232]",Demon Hunter
"[57, 57, 176, 176, 195, 195, 243, 243, 413, 459, 459, 232, 631, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 342, 342, 442, 442]",Demon Hunter
"[57, 57, 185, 243, 243, 311, 311, 415, 415, 436, 436, 501, 501, 530, 530, 538, 687, 687, 812, 812, 1002, 1070, 1070, 1111, 1111, 1112, 1112, 251, 251, 706]",Demon Hunter
"[37, 37, 60, 60, 195, 195, 243, 243, 436, 436, 459, 459, 232, 232, 530, 575, 575, 631, 773, 928, 928, 946, 1042, 1042, 1070, 1070, 1132, 1132, 745, 745]",Demon Hunter
"[37, 37, 64, 64, 117, 117, 195, 195, 519, 519, 662, 662, 690, 1070, 1070, 39, 39, 42, 42, 92, 92, 107, 107, 237, 237, 449, 449, 441, 441, 782]",Demon Hunter
"[57, 70, 195, 243, 311, 415, 454, 459, 530, 538, 595, 690, 894, 928, 1002, 1070, 1104, 1162, 132, 213, 342, 442, 453, 550, 679, 735, 889, 898, 940, 1213]",Demon Hunter
"[57, 70, 81, 82, 82, 311, 311, 455, 455, 530, 530, 575, 768, 810, 810, 1070, 1070, 79, 175, 213, 234, 339, 342, 342, 350, 350, 442, 442, 784, 782]",Demon Hunter
"[57, 185, 311, 459, 530, 575, 595, 697, 769, 812, 894, 1002, 1070, 1104, 1111, 1162, 1176, 1221, 213, 308, 342, 442, 453, 506, 713, 924, 940, 1143, 1213, 1253]",Demon Hunter
"[176, 176, 311, 311, 413, 413, 786, 786, 650, 650, 894, 1002, 1070, 1070, 1140, 234, 342, 342, 350, 350, 442, 442, 550, 550, 713, 713, 898, 940, 940, 1232]",Demon Hunter
"[82, 82, 185, 185, 288, 288, 311, 501, 501, 538, 687, 687, 812, 812, 899, 899, 1070, 1070, 1111, 1111, 1112, 1112, 1221, 251, 251, 324, 324, 362, 362, 1254]",Demon Hunter
