cards,class
"[10, 12, 61, 126, 302, 334, 448, 470, 479, 571, 609, 659, 685, 775, 801, 840, 872, 917, 1032, 1131, 1147, 1161, 1250, 31, 453, 1143, 1211, 1213, 1254, 1253]",Druid
"[10, 12, 61, 126, 302, 334, 379, 448, 470, 479, 609, 659, 685, 775, 801, 840, 872, 917, 1032, 1053, 1131, 1147, 1161, 31, 453, 940, 1143, 1213, 1254, 1253]",Druid
"[10, 12, 61, 126, 302, 334, 379, 448, 470, 479, 609, 659, 685, 775, 801, 840, 872, 917, 1032, 1053, 1131, 1147, 1161, 31, 213, 453, 1143, 1213, 1254, 1253]",Druid
"[12, 12, 61, 61, 126, 126, 379, 379, 587, 587, 659, 685, 685, 748, 748, 801, 801, 902, 902, 930, 1131, 1131, 1183, 355, 355, 921, 921, 994, 1046, 1046]",Druid
"[12, 12, 61, 61, 126, 126, 302, 302, 334, 334, 411, 411, 479, 479, 609, 609, 840, 840, 978, 993, 993, 1053, 1053, 1073, 1073, 1131, 1131, 705, 705, 1232]",Druid
"[10, 61, 61, 126, 126, 198, 334, 334, 379, 379, 420, 420, 448, 448, 532, 532, 609, 609, 953, 953, 978, 978, 1040, 1053, 1053, 1229, 940, 940, 1232, 1254]",Druid
"[10, 10, 12, 12, 13, 13, 61, 126, 126, 239, 239, 302, 320, 320, 334, 334, 479, 479, 748, 801, 801, 840, 840, 1032, 1229, 1034, 1034, 1180, 1205, 1218]",Druid
"[193, 193, 272, 272, 370, 370, 402, 402, 411, 411, 470, 470, 473, 473, 532, 532, 638, 638, 659, 747, 747, 775, 832, 832, 867, 867, 925, 925, 1122, 1192]",Druid
"[10, 10, 12, 12, 126, 126, 685, 685, 801, 801, 872, 872, 985, 985, 993, 993, 1131, 1173, 1173, 1250, 1250, 31, 31, 941, 1143, 1143, 1211, 1211, 1254, 1253]",Druid
"[10, 12, 12, 126, 126, 302, 302, 334, 334, 411, 411, 685, 685, 775, 801, 801, 872, 872, 1131, 1131, 1147, 1147, 1250, 1250, 1143, 1143, 1211, 1211, 1254, 1253]",Druid
"[10, 10, 12, 12, 61, 61, 126, 126, 320, 659, 685, 801, 801, 872, 872, 985, 993, 993, 1131, 1131, 1173, 1173, 1229, 1250, 1250, 31, 31, 941, 941, 1125]",Druid
"[12, 12, 126, 126, 302, 334, 334, 379, 379, 411, 411, 448, 448, 479, 479, 551, 551, 685, 685, 775, 801, 801, 840, 840, 1131, 1161, 1161, 1229, 1232, 1254]",Druid
"[26, 26, 28, 28, 89, 89, 126, 131, 131, 210, 272, 272, 334, 334, 370, 370, 402, 402, 411, 411, 470, 470, 473, 473, 638, 638, 832, 832, 993, 993]",Druid
"[10, 12, 12, 61, 61, 126, 126, 685, 801, 801, 872, 872, 985, 993, 993, 1131, 1173, 1173, 1250, 1250, 31, 31, 941, 941, 1143, 1143, 1211, 1211, 1254, 1253]",Druid
"[10, 12, 61, 126, 302, 334, 470, 479, 479, 609, 659, 685, 775, 801, 872, 917, 993, 1032, 1053, 1131, 1147, 1161, 1229, 31, 213, 453, 940, 1143, 1213, 1253]",Druid
"[10, 12, 61, 126, 302, 334, 448, 470, 479, 609, 659, 685, 775, 801, 872, 917, 993, 1032, 1053, 1131, 1147, 1161, 1229, 31, 213, 453, 940, 1143, 1213, 1253]",Druid
"[10, 10, 12, 12, 126, 126, 685, 685, 801, 801, 872, 872, 985, 993, 993, 1131, 1173, 1173, 1250, 1250, 31, 31, 941, 941, 1143, 1143, 1211, 1211, 1254, 1253]",Druid
"[10, 10, 12, 12, 61, 61, 126, 126, 685, 685, 801, 801, 872, 872, 985, 993, 993, 1173, 1173, 1229, 1250, 1250, 31, 31, 941, 941, 1143, 1143, 1211, 1211]",Druid
"[10, 10, 61, 61, 126, 126, 302, 302, 334, 334, 609, 609, 685, 801, 801, 872, 872, 1131, 1131, 1147, 1161, 1161, 1250, 1250, 1143, 1143, 1211, 1211, 1254, 1253]",Druid
