cards,class
"[218, 218, 220, 220, 222, 222, 299, 299, 502, 502, 543, 567, 584, 584, 606, 613, 613, 633, 633, 743, 743, 798, 798, 897, 897, 1066, 160, 160, 572, 572]",Mage
"[32, 68, 146, 204, 218, 228, 419, 465, 542, 543, 567, 613, 633, 815, 939, 945, 964, 1013, 1060, 1066, 1114, 1239, 1251, 269, 453, 572, 1046, 1205, 1213, 1254]",Mage
"[68, 146, 204, 218, 228, 465, 499, 543, 548, 567, 570, 633, 815, 939, 945, 964, 1013, 1060, 1239, 1251, 213, 269, 442, 453, 572, 706, 1046, 1135, 1213, 1254]",Mage
"[33, 33, 109, 109, 115, 115, 139, 139, 201, 201, 204, 204, 228, 252, 252, 296, 296, 338, 341, 341, 412, 412, 419, 419, 465, 465, 543, 543, 743, 743]",Mage
"[32, 68, 146, 204, 228, 465, 542, 548, 567, 570, 633, 815, 939, 945, 964, 1013, 1060, 1239, 1251, 213, 269, 453, 550, 572, 735, 940, 1046, 1213, 1232, 1254]",Mage
"[49, 68, 110, 115, 139, 204, 228, 296, 465, 499, 542, 543, 567, 743, 804, 815, 939, 964, 1013, 1060, 1130, 1190, 1246, 1251, 234, 453, 940, 1213, 1232, 1254]",Mage
"[76, 76, 109, 109, 115, 115, 139, 139, 146, 146, 201, 201, 204, 204, 228, 248, 248, 252, 252, 296, 338, 338, 412, 412, 716, 860, 860, 960, 1184, 1184]",Mage
"[218, 218, 222, 222, 299, 299, 502, 502, 543, 584, 584, 606, 613, 613, 633, 633, 743, 743, 798, 798, 897, 897, 939, 1066, 160, 160, 251, 251, 572, 572]",Mage
"[146, 146, 218, 218, 296, 296, 465, 465, 543, 543, 548, 548, 567, 567, 806, 806, 1013, 1013, 1066, 1130, 1130, 1251, 213, 269, 269, 358, 358, 696, 1046, 1254]",Mage
"[49, 49, 146, 146, 204, 204, 228, 282, 296, 296, 338, 338, 412, 412, 465, 465, 548, 548, 567, 567, 633, 633, 714, 714, 939, 1013, 1013, 1251, 1232, 1254]",Mage
"[204, 204, 218, 218, 222, 222, 299, 299, 502, 502, 543, 543, 613, 613, 633, 633, 798, 798, 815, 815, 897, 897, 939, 1066, 175, 213, 453, 572, 572, 1232]",Mage
"[146, 146, 218, 218, 296, 296, 419, 419, 465, 465, 543, 543, 548, 548, 567, 567, 806, 806, 964, 1013, 1013, 1066, 1130, 1251, 269, 269, 358, 358, 696, 1254]",Mage
"[201, 204, 228, 248, 248, 338, 338, 465, 465, 923, 923, 939, 950, 950, 1013, 1092, 1092, 1130, 1130, 1164, 1164, 1170, 1170, 1190, 1190, 1246, 1246, 1247, 1247, 1251]",Mage
"[49, 68, 68, 109, 109, 115, 115, 139, 139, 146, 146, 201, 201, 204, 204, 228, 252, 252, 282, 338, 338, 412, 412, 465, 465, 542, 542, 716, 1184, 1184]",Mage
"[85, 85, 110, 110, 146, 146, 218, 218, 296, 296, 316, 316, 465, 465, 543, 543, 567, 613, 613, 743, 743, 873, 873, 1013, 1013, 1164, 1190, 1190, 1251, 1232]",Mage
"[76, 76, 109, 109, 115, 115, 139, 139, 146, 146, 201, 201, 204, 204, 221, 228, 248, 248, 252, 252, 296, 338, 338, 412, 412, 493, 716, 1170, 1184, 1184]",Mage
"[115, 115, 204, 204, 218, 218, 299, 299, 465, 465, 502, 543, 543, 567, 584, 584, 606, 613, 633, 633, 798, 798, 806, 939, 1066, 1130, 1251, 572, 572, 696]",Mage
"[146, 146, 218, 218, 296, 296, 419, 419, 465, 465, 543, 543, 548, 548, 567, 567, 584, 806, 806, 964, 1013, 1013, 1130, 269, 269, 358, 358, 1074, 1218, 1248]",Mage
"[218, 218, 222, 222, 228, 465, 465, 499, 543, 543, 567, 567, 633, 806, 806, 815, 964, 964, 1013, 1013, 1130, 1251, 358, 358, 453, 572, 572, 696, 782, 1046]",Mage
"[146, 146, 218, 218, 296, 296, 465, 465, 543, 543, 548, 548, 567, 567, 806, 806, 1013, 1013, 1066, 1130, 1130, 1251, 213, 269, 269, 358, 358, 696, 1046, 1254]",Mage
"[228, 282, 323, 804, 939, 945, 960, 1060, 1190, 1239, 1251, 175, 234, 333, 354, 453, 484, 667, 746, 784, 880, 934, 782, 994, 1016, 1135, 1137, 1180, 1213, 1232]",Mage
"[110, 139, 204, 299, 316, 412, 465, 502, 520, 543, 548, 570, 603, 699, 743, 804, 923, 950, 1013, 1060, 1094, 1114, 1164, 1197, 1239, 1246, 1247, 453, 1232, 1254]",Mage
"[76, 76, 109, 109, 139, 139, 201, 201, 204, 204, 248, 248, 296, 296, 463, 463, 465, 465, 499, 542, 542, 543, 743, 743, 860, 860, 1170, 1170, 559, 559]",Mage
"[110, 110, 204, 204, 218, 218, 222, 222, 228, 282, 502, 502, 543, 543, 567, 567, 613, 798, 798, 815, 815, 897, 897, 1066, 1246, 1251, 572, 572, 1232, 1254]",Mage
"[68, 109, 139, 204, 218, 220, 222, 228, 252, 282, 299, 502, 542, 543, 567, 584, 613, 633, 699, 798, 806, 897, 939, 960, 1060, 1066, 213, 453, 940, 782]",Mage
"[68, 146, 204, 218, 228, 248, 465, 542, 543, 548, 567, 633, 815, 939, 964, 1013, 1060, 1066, 1251, 213, 269, 453, 550, 572, 706, 735, 940, 1213, 1232, 1254]",Mage
"[49, 68, 115, 146, 201, 204, 218, 296, 316, 412, 465, 493, 502, 543, 548, 567, 633, 806, 964, 1013, 1060, 1066, 1130, 1251, 269, 358, 453, 572, 696, 1034]",Mage
"[146, 146, 218, 218, 296, 296, 543, 543, 548, 548, 567, 567, 633, 633, 806, 806, 964, 1013, 1013, 1066, 1130, 1130, 1251, 269, 269, 358, 358, 572, 696, 1046]",Mage
"[76, 76, 109, 109, 115, 115, 139, 139, 146, 146, 201, 201, 248, 248, 252, 252, 282, 338, 338, 412, 412, 493, 716, 939, 960, 1184, 1184, 442, 442, 1254]",Mage
