cards,class
"[7, 7, 44, 44, 303, 303, 330, 377, 377, 593, 717, 717, 796, 893, 942, 942, 445, 445, 924, 924, 1019, 1143, 1143, 1158, 1158, 1211, 1243, 1248, 1248, 1253]",Paladin
"[7, 7, 29, 29, 224, 224, 303, 303, 328, 328, 400, 400, 556, 556, 704, 704, 761, 780, 780, 869, 869, 885, 885, 1023, 1023, 1128, 1128, 1175, 1216, 1216]",Paladin
"[29, 29, 303, 303, 328, 328, 407, 407, 485, 485, 593, 636, 761, 869, 869, 942, 942, 1037, 1037, 1127, 1182, 1182, 1216, 1216, 132, 132, 332, 445, 450, 577]",Paladin
"[44, 44, 116, 328, 328, 351, 400, 400, 593, 636, 636, 691, 691, 869, 869, 942, 942, 31, 31, 124, 124, 132, 445, 445, 706, 706, 1019, 1019, 1046, 1046]",Paladin
"[7, 7, 29, 29, 303, 303, 328, 328, 377, 377, 593, 636, 636, 761, 869, 869, 870, 870, 942, 942, 1127, 1199, 1216, 1216, 31, 31, 132, 132, 1137, 1232]",Paladin
"[7, 7, 44, 44, 205, 205, 303, 303, 330, 377, 377, 593, 796, 893, 942, 942, 445, 445, 924, 924, 1019, 1143, 1143, 1158, 1158, 1211, 1243, 1248, 1248, 1253]",Paladin
"[7, 7, 303, 303, 330, 330, 377, 377, 593, 796, 893, 893, 942, 942, 31, 31, 445, 445, 924, 1019, 1028, 1143, 1158, 1158, 1211, 1211, 1243, 1248, 1248, 1253]",Paladin
"[7, 7, 44, 44, 205, 205, 303, 303, 330, 377, 377, 593, 796, 942, 942, 31, 31, 445, 445, 1019, 1019, 1143, 1143, 1158, 1158, 1211, 1243, 1248, 1248, 1253]",Paladin
"[7, 7, 44, 44, 205, 205, 303, 303, 330, 377, 377, 593, 796, 942, 942, 31, 31, 445, 445, 1019, 1019, 1143, 1143, 1158, 1158, 1211, 1243, 1248, 1248, 1253]",Paladin
"[7, 7, 29, 29, 224, 224, 303, 303, 328, 328, 400, 556, 556, 717, 717, 761, 780, 780, 869, 869, 885, 885, 942, 942, 1127, 1128, 1128, 1175, 1216, 1216]",Paladin
"[7, 7, 29, 29, 224, 303, 303, 328, 328, 400, 400, 556, 556, 717, 717, 761, 780, 780, 869, 869, 885, 885, 942, 942, 1023, 1023, 1127, 1128, 1216, 1216]",Paladin
"[29, 29, 129, 303, 303, 351, 377, 377, 407, 407, 485, 485, 717, 717, 893, 893, 942, 942, 1037, 1037, 712, 712, 713, 713, 924, 924, 1028, 1028, 1243, 1253]",Paladin
"[7, 7, 29, 29, 224, 303, 303, 328, 328, 351, 400, 674, 674, 704, 717, 717, 761, 780, 780, 869, 869, 885, 942, 942, 1023, 1127, 1128, 1175, 1216, 1216]",Paladin
"[7, 7, 29, 29, 303, 303, 328, 328, 351, 556, 556, 593, 717, 761, 780, 780, 869, 869, 885, 885, 942, 942, 1023, 1023, 1037, 1127, 1128, 1175, 1216, 1216]",Paladin
"[7, 7, 29, 29, 224, 303, 303, 328, 328, 400, 400, 556, 556, 717, 717, 761, 780, 780, 869, 869, 885, 942, 942, 1023, 1023, 1127, 1128, 1175, 1216, 1216]",Paladin
"[67, 116, 147, 147, 303, 303, 345, 345, 400, 400, 593, 691, 691, 717, 175, 429, 429, 489, 489, 667, 706, 706, 725, 744, 868, 1019, 1046, 1154, 1189, 1243]",Paladin
"[7, 7, 29, 29, 303, 303, 328, 328, 377, 377, 593, 636, 796, 869, 869, 942, 942, 1037, 1037, 1127, 1216, 1216, 31, 31, 132, 132, 332, 712, 712, 1243]",Paladin
"[7, 67, 224, 303, 351, 377, 404, 556, 593, 636, 674, 704, 717, 761, 848, 870, 885, 1010, 1037, 1195, 31, 42, 92, 213, 453, 550, 706, 940, 1135, 1213]",Paladin
"[7, 7, 29, 29, 224, 303, 303, 328, 328, 351, 400, 400, 556, 556, 717, 717, 761, 780, 780, 869, 869, 885, 885, 942, 942, 1127, 1128, 1175, 1216, 1216]",Paladin
"[7, 7, 29, 29, 129, 303, 303, 328, 330, 351, 556, 593, 717, 717, 761, 780, 780, 869, 869, 885, 893, 942, 942, 1023, 1023, 1127, 1128, 1175, 1216, 1216]",Paladin
"[7, 7, 29, 29, 224, 303, 303, 328, 328, 351, 556, 556, 717, 717, 761, 780, 780, 869, 869, 885, 942, 942, 1023, 1023, 1127, 1128, 1128, 1175, 1216, 1216]",Paladin
"[7, 29, 67, 303, 328, 330, 351, 377, 386, 404, 407, 485, 556, 674, 717, 761, 869, 870, 885, 942, 1023, 1037, 1127, 1216, 453, 864, 883, 940, 1213, 1254]",Paladin
"[7, 7, 29, 29, 214, 214, 303, 303, 328, 328, 351, 490, 490, 508, 508, 593, 636, 636, 869, 869, 943, 1037, 31, 31, 189, 189, 449, 449, 908, 908]",Paladin
"[224, 224, 303, 303, 351, 377, 377, 485, 485, 486, 486, 516, 691, 691, 761, 869, 869, 870, 870, 885, 885, 912, 912, 1216, 1216, 31, 31, 974, 974, 994]",Paladin
"[7, 29, 29, 303, 303, 328, 328, 351, 485, 636, 636, 717, 717, 869, 869, 893, 942, 942, 1037, 1037, 1127, 1216, 1216, 31, 132, 132, 332, 1137, 1243, 1254]",Paladin
"[351, 377, 377, 593, 636, 636, 761, 796, 1037, 1037, 1194, 1194, 1195, 31, 31, 123, 123, 372, 372, 442, 442, 471, 471, 610, 610, 712, 712, 744, 744, 1243]",Paladin
"[7, 29, 29, 214, 214, 303, 303, 328, 328, 490, 490, 508, 508, 556, 556, 701, 761, 780, 780, 869, 869, 942, 942, 943, 1127, 1128, 1128, 1175, 1216, 1216]",Paladin
"[7, 7, 102, 102, 214, 214, 303, 303, 351, 508, 508, 556, 556, 593, 674, 674, 701, 701, 717, 717, 780, 780, 885, 885, 942, 942, 943, 1037, 1037, 1175]",Paladin
"[7, 129, 214, 224, 303, 330, 351, 377, 386, 404, 407, 485, 491, 556, 717, 761, 796, 870, 885, 893, 942, 1010, 1037, 445, 453, 712, 940, 1019, 1213, 1243]",Paladin
"[7, 7, 29, 29, 224, 303, 303, 328, 328, 400, 400, 556, 556, 717, 717, 761, 780, 780, 869, 869, 885, 885, 942, 942, 1023, 1023, 1127, 1128, 1216, 1216]",Paladin
"[7, 7, 29, 29, 328, 328, 377, 377, 593, 869, 869, 893, 893, 942, 942, 1037, 1037, 1127, 1216, 1216, 31, 31, 445, 445, 712, 712, 924, 924, 1028, 1243]",Paladin
"[7, 7, 303, 303, 330, 330, 377, 377, 422, 593, 796, 893, 893, 942, 942, 31, 31, 445, 445, 1019, 1019, 1143, 1143, 1158, 1158, 1211, 1211, 1248, 1248, 1253]",Paladin
"[102, 102, 351, 377, 377, 674, 674, 968, 968, 91, 91, 124, 124, 190, 236, 236, 304, 304, 498, 498, 610, 610, 441, 441, 740, 740, 744, 744, 974, 974]",Paladin
"[29, 29, 224, 224, 303, 303, 328, 328, 351, 488, 556, 556, 593, 717, 717, 761, 780, 780, 869, 869, 885, 885, 942, 942, 1037, 1127, 1128, 1175, 1216, 1216]",Paladin
"[7, 7, 29, 29, 224, 224, 303, 303, 328, 328, 345, 593, 636, 636, 869, 869, 942, 942, 1023, 1023, 1037, 1127, 1216, 1216, 31, 31, 132, 132, 179, 1137]",Paladin
"[102, 102, 156, 156, 303, 303, 351, 377, 377, 485, 485, 486, 486, 516, 674, 674, 912, 968, 190, 287, 287, 428, 428, 498, 610, 610, 740, 744, 883, 974]",Paladin
