cards,class
"[56, 56, 69, 69, 71, 71, 149, 149, 205, 393, 393, 395, 396, 462, 462, 483, 483, 605, 616, 844, 1118, 1139, 1225, 1225, 445, 445, 898, 898, 972, 972]",Priest
"[17, 17, 87, 87, 101, 101, 105, 105, 149, 149, 318, 318, 369, 369, 393, 393, 462, 462, 504, 504, 515, 515, 39, 39, 107, 107, 449, 449, 441, 441]",Priest
"[20, 87, 87, 369, 369, 393, 393, 462, 462, 553, 553, 611, 611, 761, 959, 959, 1023, 1023, 31, 31, 39, 39, 42, 42, 107, 107, 449, 449, 441, 441]",Priest
"[148, 149, 149, 318, 318, 364, 364, 395, 395, 483, 483, 616, 616, 752, 752, 765, 765, 900, 900, 1118, 1160, 1209, 1209, 1219, 1219, 1225, 1225, 696, 1046, 1046]",Priest
"[20, 20, 69, 69, 71, 71, 78, 78, 271, 395, 395, 483, 483, 765, 765, 896, 896, 1118, 1138, 1185, 1219, 270, 287, 287, 428, 484, 746, 1048, 1205, 1223]",Priest
"[17, 17, 69, 69, 96, 96, 149, 149, 205, 205, 364, 364, 393, 393, 395, 462, 462, 611, 611, 616, 616, 709, 709, 1118, 314, 314, 445, 445, 1232, 1254]",Priest
"[17, 69, 318, 364, 395, 462, 483, 533, 604, 605, 616, 698, 709, 765, 824, 989, 1015, 1118, 1225, 213, 432, 442, 453, 712, 924, 940, 972, 1019, 1048, 1137]",Priest
"[398, 604, 752, 696, 921]",Priest
"[17, 56, 71, 96, 142, 149, 205, 318, 393, 395, 462, 483, 594, 604, 605, 616, 709, 765, 844, 1139, 1185, 317, 442, 445, 453, 883, 898, 1213, 1232, 1254]",Priest
"[17, 17, 69, 69, 118, 118, 141, 141, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1185, 1225, 1225, 722, 972, 972, 1048]",Priest
"[17, 17, 148, 149, 149, 205, 205, 318, 318, 364, 364, 393, 393, 395, 395, 462, 462, 483, 483, 553, 553, 611, 611, 616, 616, 824, 1023, 1023, 526, 1254]",Priest
"[17, 17, 27, 69, 69, 71, 71, 149, 149, 364, 364, 431, 431, 462, 462, 594, 616, 616, 989, 989, 1118, 1139, 1185, 1225, 1225, 679, 679, 972, 972, 1048]",Priest
"[17, 17, 69, 69, 118, 118, 141, 141, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1185, 1225, 1225, 722, 972, 972, 1048]",Priest
"[17, 17, 69, 69, 118, 118, 141, 141, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1185, 1225, 1225, 722, 972, 972, 1048]",Priest
"[17, 17, 69, 69, 149, 149, 318, 318, 431, 431, 594, 616, 616, 698, 698, 739, 739, 989, 989, 1118, 1139, 1225, 1225, 308, 308, 924, 972, 972, 1048, 1253]",Priest
"[17, 17, 69, 69, 118, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1225, 1225, 722, 722, 972, 972, 1048]",Priest
"[17, 17, 69, 69, 118, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1225, 1225, 722, 722, 972, 972, 1048]",Priest
"[17, 17, 69, 69, 118, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1225, 1225, 722, 722, 972, 972, 1048]",Priest
"[17, 17, 56, 56, 69, 69, 71, 71, 96, 149, 149, 205, 205, 393, 395, 395, 462, 462, 604, 709, 709, 1118, 1139, 1185, 442, 442, 445, 445, 898, 898]",Priest
"[8, 149, 149, 318, 318, 364, 364, 395, 395, 483, 483, 616, 616, 900, 900, 1139, 1160, 1177, 1177, 1209, 1209, 1219, 1219, 1225, 1225, 696, 706, 706, 1046, 1046]",Priest
"[15, 15, 17, 20, 20, 78, 78, 96, 96, 149, 149, 318, 318, 364, 364, 393, 393, 553, 553, 611, 611, 616, 616, 959, 172, 350, 350, 1034, 1034, 1137]",Priest
"[27, 149, 149, 205, 318, 318, 364, 364, 395, 483, 483, 616, 616, 765, 765, 900, 900, 1160, 1177, 1209, 1209, 1219, 1219, 1225, 1225, 696, 1046, 1046, 1232, 1248]",Priest
"[96, 96, 149, 149, 205, 205, 318, 318, 364, 364, 483, 483, 752, 765, 765, 809, 824, 900, 900, 1160, 1209, 1209, 1219, 1219, 1225, 1225, 725, 725, 1046, 1046]",Priest
"[17, 17, 56, 56, 71, 71, 96, 149, 149, 393, 393, 395, 462, 462, 483, 483, 605, 616, 616, 1139, 1185, 1225, 442, 445, 445, 849, 898, 898, 940, 1254]",Priest
"[96, 96, 149, 149, 318, 318, 364, 364, 395, 395, 396, 396, 616, 616, 900, 900, 1160, 1177, 1177, 1209, 1209, 1219, 1219, 1225, 1225, 696, 1019, 1019, 1046, 1046]",Priest
"[15, 15, 17, 78, 78, 149, 149, 318, 318, 393, 393, 462, 462, 483, 611, 611, 616, 616, 752, 809, 809, 959, 959, 1023, 1023, 1118, 1139, 234, 332, 332]",Priest
"[56, 69, 69, 71, 149, 149, 205, 205, 393, 393, 395, 396, 462, 462, 483, 483, 605, 616, 616, 1118, 1139, 1225, 445, 445, 755, 898, 898, 972, 972, 1048]",Priest
"[17, 56, 56, 71, 71, 96, 96, 149, 149, 318, 318, 364, 364, 393, 393, 483, 483, 611, 611, 616, 616, 1138, 744, 755, 924, 940, 1019, 1243, 1248, 1254]",Priest
"[17, 17, 27, 71, 71, 96, 96, 142, 142, 149, 149, 318, 318, 393, 393, 483, 483, 616, 616, 900, 900, 1139, 1177, 1177, 1209, 1209, 1219, 1219, 1225, 1225]",Priest
"[4, 11, 11, 15, 15, 17, 17, 20, 23, 78, 78, 96, 96, 149, 149, 205, 205, 318, 318, 364, 364, 553, 553, 611, 611, 616, 616, 1034, 1034, 1232]",Priest
"[149, 149, 205, 318, 318, 364, 364, 395, 483, 483, 616, 616, 765, 900, 900, 1118, 1139, 1160, 1177, 1177, 1209, 1209, 1219, 1219, 1225, 696, 1046, 1046, 1232, 1248]",Priest
"[17, 69, 141, 148, 149, 205, 364, 393, 431, 462, 483, 594, 604, 616, 647, 707, 709, 824, 844, 967, 989, 1118, 1139, 1185, 1225, 453, 722, 972, 1048, 1213]",Priest
"[17, 17, 69, 69, 118, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1225, 1225, 722, 722, 972, 972, 1048]",Priest
"[17, 17, 69, 69, 118, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1225, 1225, 722, 722, 972, 972, 1048]",Priest
"[17, 17, 69, 69, 118, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1225, 1225, 722, 722, 972, 972, 1048]",Priest
"[17, 17, 69, 69, 149, 149, 318, 318, 431, 431, 594, 616, 616, 698, 698, 739, 739, 989, 989, 1118, 1139, 1225, 1225, 308, 308, 924, 972, 972, 1048, 1253]",Priest
"[17, 17, 27, 71, 71, 78, 78, 96, 96, 149, 149, 364, 364, 393, 393, 395, 395, 462, 462, 611, 611, 616, 616, 1118, 329, 329, 373, 373, 445, 445]",Priest
"[56, 56, 71, 71, 149, 149, 307, 307, 318, 318, 364, 364, 553, 553, 611, 611, 616, 616, 900, 900, 234, 332, 332, 358, 358, 883, 883, 1019, 1019, 1218]",Priest
"[17, 17, 56, 56, 71, 71, 149, 149, 318, 318, 393, 395, 462, 462, 483, 605, 611, 611, 616, 616, 765, 824, 1139, 445, 445, 898, 898, 1034, 1034, 1232]",Priest
"[17, 17, 71, 71, 78, 78, 149, 149, 318, 318, 369, 369, 393, 393, 462, 462, 483, 483, 611, 611, 616, 616, 752, 752, 761, 809, 959, 959, 1023, 1023]",Priest
"[17, 17, 20, 56, 56, 71, 71, 96, 149, 149, 318, 318, 393, 393, 462, 462, 553, 611, 611, 616, 616, 1139, 1185, 442, 442, 445, 898, 898, 1110, 1110]",Priest
"[17, 17, 149, 149, 318, 318, 396, 396, 553, 553, 765, 765, 900, 900, 989, 989, 1118, 1160, 1209, 1209, 1219, 1219, 1225, 1225, 972, 972, 1046, 1046, 1248, 1248]",Priest
"[17, 56, 71, 96, 149, 318, 364, 393, 395, 462, 483, 604, 611, 616, 765, 1138, 1139, 31, 213, 304, 453, 712, 744, 755, 940, 1019, 1028, 1135, 1213, 1243]",Priest
"[17, 17, 69, 69, 71, 71, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048, 1232]",Priest
"[17, 17, 69, 69, 71, 71, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048, 1232]",Priest
"[17, 17, 69, 69, 71, 71, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048, 1232]",Priest
"[17, 69, 69, 149, 149, 205, 205, 318, 318, 364, 364, 483, 483, 605, 616, 616, 707, 707, 765, 765, 1015, 1015, 1118, 1139, 1225, 972, 972, 1048, 1232, 1254]",Priest
"[17, 17, 56, 56, 71, 71, 149, 149, 364, 364, 393, 393, 395, 462, 462, 483, 483, 594, 604, 611, 611, 616, 616, 1139, 1225, 213, 898, 898, 940, 1232]",Priest
"[149, 149, 205, 205, 318, 318, 364, 364, 395, 483, 483, 616, 616, 765, 765, 900, 1118, 1139, 1160, 1168, 1177, 1177, 1209, 1209, 1219, 1219, 1225, 696, 1046, 1046]",Priest
"[8, 8, 96, 96, 149, 149, 318, 318, 364, 364, 395, 395, 396, 396, 483, 483, 616, 616, 647, 647, 765, 765, 824, 1118, 1139, 1225, 1225, 940, 940, 1232]",Priest
"[15, 15, 17, 20, 78, 78, 96, 149, 149, 318, 318, 364, 395, 395, 398, 483, 483, 553, 553, 611, 616, 616, 707, 752, 752, 120, 120, 445, 445, 1034]",Priest
"[148, 149, 149, 318, 318, 364, 398, 462, 462, 616, 752, 787, 900, 1138, 1209, 1219, 1219, 1225, 1225, 696, 712, 744, 924, 924, 1019, 1019, 1046, 1046, 1232, 1243]",Priest
"[17, 17, 20, 20, 96, 96, 142, 142, 149, 149, 205, 205, 318, 318, 364, 364, 396, 483, 483, 553, 553, 611, 611, 616, 616, 765, 765, 1034, 1034, 1232]",Priest
"[8, 8, 15, 15, 17, 17, 23, 23, 78, 78, 96, 96, 149, 149, 318, 318, 364, 364, 393, 393, 396, 396, 462, 462, 611, 611, 616, 616, 441, 441]",Priest
"[8, 8, 17, 17, 96, 96, 118, 149, 149, 205, 205, 318, 318, 364, 364, 395, 396, 396, 431, 431, 483, 483, 616, 616, 765, 765, 787, 824, 782, 1232]",Priest
"[17, 17, 69, 69, 71, 71, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048, 1232]",Priest
"[17, 17, 69, 69, 71, 71, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 604, 616, 616, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048, 1232]",Priest
"[17, 17, 69, 69, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 616, 616, 739, 739, 844, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048, 1232]",Priest
"[17, 17, 69, 69, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 616, 616, 739, 739, 844, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048, 1232]",Priest
"[56, 56, 71, 71, 96, 96, 149, 149, 318, 318, 364, 364, 393, 393, 395, 395, 396, 396, 462, 462, 611, 611, 616, 616, 1185, 445, 445, 898, 898, 1055]",Priest
"[27, 148, 149, 149, 318, 318, 483, 483, 616, 616, 752, 752, 765, 765, 900, 900, 967, 967, 1160, 1177, 1177, 1209, 1209, 1219, 1219, 1225, 1225, 696, 1046, 1046]",Priest
"[8, 8, 15, 15, 17, 17, 23, 23, 78, 78, 96, 96, 149, 149, 318, 318, 364, 364, 393, 393, 396, 396, 462, 462, 611, 611, 616, 616, 926, 926]",Priest
"[56, 56, 71, 71, 364, 364, 395, 462, 462, 483, 483, 604, 616, 616, 787, 844, 1118, 1139, 1185, 1225, 442, 442, 445, 445, 755, 898, 898, 940, 940, 1048]",Priest
"[17, 17, 20, 20, 69, 69, 149, 318, 318, 462, 462, 515, 515, 553, 611, 611, 765, 765, 809, 809, 1118, 1225, 107, 107, 354, 441, 441, 1046, 1046, 1100]",Priest
"[17, 69, 69, 149, 149, 205, 205, 318, 318, 364, 364, 483, 483, 605, 616, 616, 707, 707, 765, 765, 1015, 1015, 1118, 1139, 1225, 972, 972, 1048, 1232, 1254]",Priest
"[17, 71, 148, 149, 318, 364, 393, 395, 462, 483, 533, 594, 611, 616, 698, 761, 824, 844, 900, 1139, 1185, 1225, 453, 713, 924, 1143, 1213, 1232, 1254, 1253]",Priest
"[149, 149, 205, 205, 318, 318, 364, 364, 395, 483, 483, 616, 616, 765, 765, 900, 1118, 1139, 1160, 1168, 1177, 1177, 1209, 1209, 1219, 1219, 1225, 696, 1046, 1046]",Priest
"[8, 8, 96, 96, 149, 149, 318, 318, 364, 364, 396, 396, 616, 616, 1138, 1160, 1219, 1219, 1225, 1242, 696, 712, 712, 1019, 1019, 1211, 1211, 1243, 1248, 1254]",Priest
"[149, 149, 318, 318, 364, 364, 395, 395, 396, 396, 483, 483, 616, 616, 765, 765, 900, 900, 1139, 1160, 1177, 1177, 1209, 1209, 1219, 1219, 1225, 696, 1046, 1046]",Priest
"[96, 96, 149, 149, 318, 318, 364, 364, 393, 393, 462, 462, 483, 483, 611, 611, 616, 616, 1023, 1023, 1139, 1167, 1167, 445, 445, 940, 1034, 1034, 1232, 1254]",Priest
"[17, 69, 141, 148, 149, 205, 364, 393, 431, 462, 483, 594, 604, 616, 647, 707, 709, 824, 844, 967, 989, 1118, 1139, 1185, 1225, 453, 722, 972, 1048, 1213]",Priest
"[15, 15, 17, 20, 20, 71, 71, 78, 78, 96, 96, 149, 149, 318, 318, 364, 364, 393, 393, 395, 553, 553, 611, 611, 616, 616, 765, 1034, 1034, 1232]",Priest
"[17, 17, 56, 56, 71, 71, 78, 78, 149, 149, 318, 318, 364, 364, 393, 393, 462, 483, 553, 553, 611, 611, 616, 616, 752, 765, 959, 696, 898, 1055]",Priest
"[8, 17, 71, 149, 205, 318, 364, 393, 395, 431, 462, 483, 594, 604, 605, 611, 616, 709, 765, 1139, 1185, 1225, 31, 213, 442, 445, 453, 898, 940, 1213]",Priest
"[149, 149, 318, 318, 364, 364, 395, 395, 483, 483, 616, 616, 765, 765, 900, 900, 1139, 1160, 1177, 1177, 1209, 1209, 1219, 1219, 1225, 1225, 696, 1046, 1046, 1248]",Priest
"[17, 149, 149, 318, 364, 364, 533, 533, 765, 765, 809, 809, 900, 900, 1160, 1219, 1219, 1225, 1225, 308, 696, 924, 924, 782, 1046, 1046, 1143, 1143, 1232, 1253]",Priest
"[17, 56, 71, 149, 318, 393, 395, 396, 462, 483, 533, 611, 616, 698, 787, 824, 844, 1139, 1185, 1225, 442, 445, 453, 713, 898, 924, 1143, 1213, 1254, 1253]",Priest
"[17, 17, 69, 69, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 616, 616, 739, 739, 844, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048, 1232]",Priest
"[17, 17, 69, 69, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 616, 616, 739, 739, 844, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048, 1232]",Priest
"[17, 17, 69, 69, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 594, 616, 616, 739, 739, 844, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048, 1232]",Priest
"[149, 149, 318, 318, 364, 364, 483, 483, 553, 616, 616, 752, 752, 765, 765, 824, 900, 900, 1118, 1139, 1160, 1209, 1219, 1219, 1225, 1225, 696, 755, 1046, 1046]",Priest
"[17, 96, 149, 205, 318, 318, 364, 364, 483, 483, 616, 616, 752, 752, 765, 765, 824, 900, 900, 1160, 1209, 1209, 1219, 1219, 1225, 696, 755, 1046, 1046, 1248]",Priest
"[149, 149, 318, 318, 364, 364, 483, 483, 553, 616, 616, 752, 765, 765, 824, 900, 900, 1118, 1139, 1177, 1209, 1209, 1219, 1219, 1225, 1225, 696, 1046, 1046, 1248]",Priest
"[17, 71, 149, 205, 318, 364, 393, 395, 431, 462, 483, 533, 594, 604, 605, 616, 709, 765, 844, 967, 1118, 1139, 1185, 1225, 213, 445, 453, 898, 940, 1213]",Priest
"[15, 15, 56, 56, 69, 69, 71, 71, 96, 149, 149, 318, 318, 393, 393, 462, 462, 605, 611, 611, 616, 616, 1118, 1139, 1185, 132, 445, 445, 898, 898]",Priest
"[15, 15, 20, 20, 23, 23, 96, 96, 149, 149, 205, 205, 318, 318, 393, 393, 395, 462, 462, 611, 611, 616, 616, 1168, 445, 445, 1034, 1034, 1232, 1254]",Priest
"[17, 17, 56, 56, 71, 71, 78, 78, 96, 149, 149, 393, 393, 395, 462, 462, 611, 611, 616, 616, 765, 765, 959, 959, 1023, 1023, 1139, 898, 898, 1254]",Priest
"[56, 56, 71, 71, 149, 149, 395, 395, 431, 431, 462, 462, 483, 483, 533, 533, 605, 616, 616, 1004, 1118, 1139, 1225, 1225, 445, 898, 898, 1048, 1055, 1055]",Priest
"[17, 17, 27, 69, 69, 71, 71, 148, 149, 149, 318, 364, 364, 431, 431, 462, 462, 533, 533, 616, 616, 698, 698, 989, 989, 1118, 1139, 1168, 1048, 1253]",Priest
"[17, 148, 149, 149, 318, 318, 364, 364, 395, 483, 483, 616, 616, 752, 900, 967, 967, 1160, 1177, 1177, 1209, 1219, 1219, 1225, 175, 696, 921, 921, 1046, 1046]",Priest
"[17, 17, 118, 118, 141, 141, 149, 149, 205, 205, 279, 279, 431, 431, 594, 604, 616, 616, 647, 647, 709, 709, 1015, 1015, 1139, 1185, 1242, 1242, 940, 940]",Priest
"[71, 71, 78, 78, 149, 149, 205, 205, 318, 318, 364, 364, 395, 398, 431, 431, 483, 483, 553, 553, 616, 616, 752, 752, 1225, 1225, 31, 120, 120, 175]",Priest
"[17, 149, 149, 318, 318, 364, 364, 533, 533, 765, 765, 809, 809, 900, 900, 1160, 1219, 1219, 1225, 1225, 696, 924, 924, 782, 1046, 1046, 1143, 1143, 1232, 1253]",Priest
"[17, 17, 69, 69, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 483, 594, 616, 616, 739, 739, 844, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048]",Priest
"[17, 17, 69, 69, 141, 141, 148, 149, 149, 431, 431, 462, 462, 483, 483, 594, 616, 616, 739, 739, 844, 989, 989, 1118, 1139, 1225, 1225, 972, 972, 1048]",Priest
"[17, 17, 69, 69, 149, 149, 318, 318, 431, 431, 594, 616, 616, 698, 698, 739, 739, 989, 989, 1118, 1139, 1225, 1225, 308, 308, 924, 972, 972, 1048, 1253]",Priest
"[17, 17, 149, 149, 318, 318, 364, 364, 395, 395, 483, 483, 616, 616, 752, 765, 765, 900, 900, 959, 1118, 1160, 1219, 1219, 1225, 1225, 696, 700, 700, 1232]",Priest
"[17, 17, 20, 20, 96, 96, 149, 149, 205, 205, 364, 364, 393, 393, 395, 395, 462, 462, 553, 553, 616, 616, 709, 709, 752, 761, 1023, 1023, 445, 445]",Priest
"[56, 56, 71, 71, 149, 318, 318, 369, 393, 395, 395, 431, 462, 483, 483, 611, 611, 616, 616, 765, 787, 824, 1139, 1185, 1225, 746, 898, 1055, 1055, 1228]",Priest
"[20, 20, 96, 96, 395, 707, 759, 759, 765, 765, 787, 787, 844, 851, 851, 1168, 219, 219, 258, 342, 342, 358, 358, 401, 401, 466, 466, 883, 955, 955]",Priest
"[78, 78, 87, 87, 101, 101, 105, 105, 148, 149, 149, 318, 318, 327, 327, 364, 364, 369, 369, 393, 393, 462, 462, 611, 611, 616, 616, 707, 926, 926]",Priest
"[11, 11, 118, 118, 141, 141, 149, 149, 205, 205, 279, 279, 318, 318, 395, 395, 431, 431, 594, 605, 709, 709, 765, 765, 789, 789, 1015, 1015, 1139, 1185]",Priest
"[27, 149, 149, 364, 364, 395, 395, 483, 483, 553, 616, 616, 900, 900, 1139, 1168, 1177, 1177, 1209, 1209, 1219, 1219, 1225, 1225, 696, 706, 706, 1046, 1046, 1254]",Priest
"[56, 56, 87, 87, 148, 271, 271, 318, 318, 327, 327, 515, 515, 604, 605, 762, 844, 1004, 1004, 1138, 1168, 1185, 42, 712, 712, 924, 924, 1019, 1019, 1243]",Priest
