cards,class
"[2, 2, 16, 16, 19, 19, 49, 49, 136, 159, 159, 216, 216, 231, 267, 267, 281, 281, 389, 389, 427, 427, 495, 497, 497, 534, 534, 782, 1180, 1232]",Rogue
"[2, 19, 41, 72, 133, 138, 177, 204, 216, 267, 292, 367, 427, 438, 497, 521, 534, 642, 635, 853, 939, 1031, 1039, 1115, 257, 453, 940, 972, 1048, 1137]",Rogue
"[2, 2, 19, 133, 133, 138, 138, 177, 177, 204, 204, 281, 281, 430, 521, 521, 642, 642, 939, 1031, 1035, 1039, 1115, 213, 213, 919, 782, 972, 972, 1048]",Rogue
"[2, 136, 159, 159, 169, 169, 177, 177, 204, 227, 227, 281, 281, 292, 292, 389, 427, 427, 521, 521, 558, 558, 565, 565, 939, 174, 209, 209, 409, 409]",Rogue
"[2, 136, 159, 159, 169, 169, 177, 177, 227, 227, 246, 281, 281, 292, 292, 389, 427, 427, 558, 558, 565, 565, 174, 174, 209, 209, 409, 409, 708, 708]",Rogue
"[2, 2, 63, 63, 159, 159, 177, 177, 281, 281, 389, 495, 558, 558, 643, 643, 680, 680, 836, 836, 904, 904, 910, 939, 209, 209, 409, 409, 731, 731]",Rogue
"[2, 16, 19, 72, 133, 138, 159, 204, 281, 292, 389, 427, 430, 497, 521, 642, 635, 853, 939, 982, 1031, 1039, 1115, 453, 940, 1048, 1137, 1213, 1232, 1254]",Rogue
"[19, 19, 136, 159, 159, 169, 169, 177, 177, 227, 227, 246, 246, 281, 281, 292, 292, 389, 427, 427, 558, 558, 565, 565, 174, 174, 209, 209, 409, 409]",Rogue
"[2, 136, 159, 159, 169, 169, 177, 177, 204, 227, 227, 281, 281, 292, 292, 389, 427, 427, 521, 521, 558, 558, 565, 565, 939, 174, 209, 209, 409, 409]",Rogue
"[19, 136, 159, 159, 169, 169, 177, 177, 227, 227, 246, 246, 281, 281, 292, 292, 389, 427, 427, 558, 558, 565, 565, 527, 174, 174, 209, 209, 409, 409]",Rogue
"[159, 159, 177, 177, 227, 227, 246, 246, 281, 281, 292, 292, 389, 389, 427, 427, 521, 521, 558, 558, 565, 565, 771, 42, 42, 209, 209, 409, 409, 708]",Rogue
"[2, 2, 63, 63, 159, 159, 169, 169, 177, 177, 204, 204, 281, 281, 292, 292, 389, 427, 427, 495, 558, 565, 565, 527, 904, 904, 132, 132, 409, 409]",Rogue
"[2, 2, 63, 63, 159, 159, 169, 169, 177, 177, 204, 204, 281, 281, 292, 292, 389, 427, 427, 495, 558, 565, 565, 527, 904, 904, 132, 132, 409, 409]",Rogue
"[2, 2, 16, 19, 19, 187, 216, 216, 389, 389, 427, 427, 456, 670, 670, 825, 825, 944, 944, 982, 982, 999, 1031, 1035, 31, 31, 713, 713, 1046, 1046]",Rogue
"[19, 19, 133, 133, 138, 138, 187, 187, 204, 204, 292, 292, 389, 389, 427, 427, 521, 521, 642, 642, 1031, 1039, 1115, 722, 722, 972, 972, 1046, 1046, 1048]",Rogue
"[19, 19, 133, 133, 138, 138, 187, 187, 204, 204, 292, 292, 389, 389, 427, 427, 521, 521, 642, 642, 1031, 1039, 1115, 722, 722, 972, 972, 1046, 1046, 1048]",Rogue
"[19, 19, 133, 133, 138, 138, 187, 187, 204, 204, 292, 292, 389, 389, 427, 427, 521, 521, 642, 642, 1031, 1039, 1115, 722, 722, 972, 972, 1046, 1046, 1048]",Rogue
"[2, 2, 63, 63, 159, 159, 177, 177, 281, 281, 389, 558, 558, 565, 643, 643, 680, 680, 836, 836, 904, 904, 910, 939, 209, 209, 409, 409, 731, 731]",Rogue
"[2, 2, 16, 16, 19, 19, 41, 41, 133, 159, 159, 204, 204, 216, 216, 267, 267, 281, 281, 292, 292, 397, 427, 427, 521, 521, 527, 939, 624, 624]",Rogue
"[2, 2, 16, 16, 19, 19, 38, 41, 41, 49, 49, 216, 267, 267, 292, 292, 397, 427, 427, 430, 495, 521, 521, 527, 970, 970, 329, 373, 373, 1232]",Rogue
"[2, 2, 16, 16, 19, 19, 216, 216, 267, 389, 427, 427, 497, 497, 806, 806, 859, 944, 982, 982, 1031, 358, 358, 453, 572, 572, 696, 713, 713, 1232]",Rogue
"[2, 2, 63, 63, 159, 159, 169, 169, 177, 177, 281, 281, 292, 292, 427, 427, 558, 558, 565, 565, 680, 680, 904, 904, 42, 42, 209, 209, 409, 409]",Rogue
"[2, 16, 19, 38, 49, 72, 134, 159, 169, 204, 229, 245, 281, 292, 367, 399, 527, 757, 853, 881, 939, 951, 1031, 5, 24, 132, 257, 453, 526, 572]",Rogue
"[2, 136, 159, 159, 169, 169, 177, 177, 227, 227, 246, 281, 281, 292, 292, 389, 427, 427, 558, 558, 565, 565, 174, 174, 209, 209, 409, 409, 708, 708]",Rogue
