cards,class
"[12, 12, 58, 171, 171, 576, 645, 645, 732, 732, 903, 903, 132, 132, 189, 189, 342, 342, 358, 358, 442, 442, 713, 713, 829, 898, 898, 954, 954, 1253]",Shaman
"[58, 171, 171, 447, 447, 576, 732, 732, 1078, 1108, 1108, 1202, 1202, 189, 189, 275, 275, 342, 342, 358, 358, 373, 373, 442, 442, 713, 713, 829, 880, 1253]",Shaman
"[12, 58, 535, 535, 576, 589, 600, 600, 732, 753, 753, 932, 932, 1108, 1108, 1193, 1193, 155, 234, 342, 358, 358, 442, 442, 679, 679, 883, 883, 1232, 1254]",Shaman
"[12, 12, 113, 113, 171, 171, 183, 183, 242, 242, 265, 265, 383, 383, 576, 645, 645, 659, 664, 664, 732, 732, 903, 903, 911, 911, 938, 234, 738, 892]",Shaman
"[12, 12, 58, 68, 68, 242, 278, 387, 387, 589, 589, 600, 932, 175, 189, 189, 213, 234, 257, 342, 358, 358, 373, 550, 615, 713, 713, 889, 782, 1253]",Shaman
"[12, 12, 58, 68, 68, 242, 278, 387, 387, 589, 589, 600, 600, 175, 189, 189, 213, 234, 257, 342, 358, 358, 373, 550, 615, 713, 713, 889, 782, 1253]",Shaman
"[12, 12, 151, 171, 171, 242, 242, 576, 619, 619, 888, 888, 1220, 1220, 31, 31, 189, 189, 358, 358, 511, 511, 731, 731, 764, 764, 908, 908, 1249, 1249]",Shaman
"[12, 12, 151, 151, 447, 447, 535, 535, 576, 732, 732, 760, 760, 843, 932, 932, 1108, 1108, 1193, 1193, 1202, 1202, 988, 988, 1180, 1211, 1211, 1240, 1254, 1253]",Shaman
"[12, 12, 58, 75, 171, 171, 447, 535, 535, 576, 732, 732, 932, 1078, 1108, 1108, 1193, 189, 189, 275, 275, 358, 358, 372, 372, 713, 713, 940, 940, 1253]",Shaman
"[12, 12, 151, 151, 242, 242, 535, 535, 576, 619, 619, 732, 732, 888, 888, 189, 189, 358, 358, 511, 511, 713, 713, 731, 731, 764, 764, 919, 919, 1253]",Shaman
"[12, 12, 151, 265, 265, 447, 535, 535, 576, 589, 732, 732, 753, 843, 845, 845, 932, 932, 1108, 1108, 1193, 1193, 1237, 940, 940, 1143, 1143, 1211, 1240, 1253]",Shaman
"[12, 12, 139, 139, 535, 535, 600, 600, 732, 732, 960, 1193, 1193, 79, 79, 234, 332, 332, 416, 416, 451, 451, 713, 713, 940, 980, 980, 1019, 1019, 1253]",Shaman
"[12, 12, 58, 171, 171, 576, 732, 732, 753, 753, 932, 932, 1078, 1108, 1108, 1193, 1193, 189, 189, 342, 342, 358, 358, 442, 442, 713, 713, 829, 940, 1253]",Shaman
"[12, 68, 242, 265, 384, 447, 535, 576, 602, 608, 645, 659, 664, 684, 732, 753, 760, 845, 878, 932, 938, 971, 1078, 1108, 1193, 1202, 442, 453, 713, 1213]",Shaman
"[12, 12, 68, 447, 535, 535, 576, 585, 600, 659, 753, 760, 843, 932, 932, 949, 949, 1108, 1193, 1193, 1202, 1202, 1237, 1237, 350, 696, 935, 1125, 1232, 1240]",Shaman
"[12, 12, 113, 113, 171, 171, 183, 183, 242, 242, 265, 265, 383, 383, 576, 586, 586, 645, 645, 664, 664, 732, 732, 845, 845, 903, 903, 911, 911, 938]",Shaman
"[12, 12, 265, 265, 447, 535, 535, 576, 585, 659, 753, 753, 760, 843, 932, 932, 949, 949, 1108, 1193, 1193, 1202, 1202, 1237, 1237, 350, 696, 935, 1125, 1240]",Shaman
"[12, 12, 151, 151, 171, 171, 242, 242, 535, 535, 576, 888, 888, 1220, 1220, 31, 358, 358, 511, 511, 731, 731, 764, 764, 908, 908, 940, 1180, 1211, 1211]",Shaman
"[88, 88, 139, 139, 242, 242, 265, 265, 384, 384, 576, 585, 586, 588, 588, 645, 645, 659, 732, 732, 834, 834, 938, 960, 416, 416, 466, 466, 898, 898]",Shaman
"[88, 113, 139, 139, 242, 242, 265, 265, 384, 384, 576, 585, 645, 645, 732, 732, 834, 834, 960, 79, 79, 416, 416, 466, 466, 713, 713, 898, 898, 1253]",Shaman
"[12, 12, 58, 171, 171, 576, 732, 732, 903, 903, 932, 932, 132, 132, 189, 189, 275, 275, 342, 342, 373, 373, 442, 442, 679, 679, 713, 713, 880, 1253]",Shaman
"[58, 68, 171, 171, 387, 576, 732, 732, 753, 753, 932, 932, 1193, 189, 189, 275, 275, 342, 342, 358, 358, 442, 442, 713, 713, 829, 940, 940, 1232, 1253]",Shaman
"[12, 58, 139, 171, 242, 387, 535, 576, 645, 659, 753, 760, 843, 1020, 1078, 1108, 1116, 1144, 31, 189, 213, 275, 342, 453, 679, 746, 829, 880, 1213, 1254]",Shaman
"[12, 12, 21, 21, 22, 22, 242, 242, 265, 265, 278, 278, 434, 434, 535, 535, 557, 600, 600, 645, 645, 672, 672, 833, 833, 990, 990, 712, 712, 1254]",Shaman
"[12, 12, 21, 21, 22, 22, 180, 180, 183, 183, 278, 278, 576, 600, 600, 645, 645, 672, 672, 833, 833, 854, 887, 887, 990, 990, 1063, 1063, 189, 189]",Shaman
"[58, 68, 171, 171, 387, 387, 576, 732, 732, 753, 753, 932, 932, 1193, 189, 189, 275, 275, 342, 342, 358, 358, 442, 442, 713, 713, 829, 940, 1232, 1253]",Shaman
"[12, 14, 75, 139, 151, 171, 265, 278, 319, 434, 535, 600, 602, 645, 732, 760, 913, 932, 1020, 1116, 1193, 1202, 1220, 453, 713, 722, 972, 1048, 1213, 1232]",Shaman
"[242, 265, 265, 319, 319, 535, 535, 576, 659, 664, 664, 732, 732, 753, 753, 843, 845, 845, 911, 932, 932, 938, 1108, 1108, 1116, 234, 679, 679, 1048, 1253]",Shaman
"[68, 68, 242, 242, 265, 265, 387, 387, 447, 447, 535, 535, 576, 589, 589, 602, 602, 645, 645, 760, 760, 843, 932, 932, 1078, 1108, 1108, 1193, 234, 1232]",Shaman
"[68, 68, 265, 265, 447, 447, 535, 535, 576, 760, 760, 845, 845, 932, 932, 1078, 1108, 1108, 1116, 1193, 1193, 1202, 1202, 679, 679, 755, 755, 940, 940, 1208]",Shaman
"[12, 12, 58, 242, 242, 585, 602, 602, 620, 620, 645, 645, 753, 753, 843, 903, 903, 932, 932, 971, 971, 1193, 1193, 1237, 1237, 713, 713, 764, 782, 1253]",Shaman
"[12, 12, 171, 171, 242, 242, 480, 480, 619, 619, 888, 888, 1220, 1220, 31, 31, 189, 189, 275, 275, 511, 511, 731, 731, 764, 764, 908, 908, 919, 919]",Shaman
"[12, 68, 113, 265, 447, 535, 576, 589, 602, 645, 659, 664, 732, 753, 760, 845, 878, 932, 1078, 1108, 1193, 1202, 442, 453, 679, 706, 755, 898, 1135, 1213]",Shaman
"[68, 68, 265, 265, 319, 319, 447, 447, 535, 535, 576, 760, 760, 845, 845, 932, 932, 1078, 1108, 1108, 1116, 1193, 1193, 1202, 1202, 213, 213, 755, 755, 1208]",Shaman
"[12, 12, 151, 151, 171, 171, 242, 242, 619, 619, 732, 732, 888, 888, 1220, 1220, 234, 511, 511, 731, 731, 764, 764, 919, 919, 782, 1180, 1211, 1211, 1253]",Shaman
