cards,class
"[17, 17, 83, 83, 84, 84, 173, 173, 202, 202, 207, 207, 238, 238, 260, 260, 284, 284, 723, 795, 795, 1038, 1038, 5, 5, 24, 24, 31, 449, 449]",Warlock
"[17, 17, 176, 176, 202, 202, 260, 260, 321, 413, 413, 599, 599, 641, 641, 648, 648, 742, 742, 996, 996, 1167, 1167, 189, 189, 668, 668, 1077, 1249, 1249]",Warlock
"[17, 83, 83, 168, 168, 202, 202, 277, 277, 284, 284, 313, 313, 321, 523, 523, 795, 795, 906, 1038, 1038, 31, 31, 92, 92, 392, 392, 453, 596, 596]",Warlock
"[65, 65, 81, 81, 84, 84, 121, 121, 173, 173, 176, 176, 202, 202, 264, 264, 313, 313, 321, 435, 547, 547, 599, 599, 742, 742, 795, 795, 1038, 1038]",Warlock
"[18, 135, 135, 176, 176, 413, 413, 505, 505, 514, 514, 641, 641, 710, 710, 852, 852, 1079, 1119, 1140, 577, 722, 722, 940, 940, 972, 972, 1048, 1135, 1253]",Warlock
"[121, 144, 173, 182, 356, 368, 368, 505, 547, 710, 842, 901, 1003, 1005, 1022, 1045, 1165, 1217, 234, 453, 712, 755, 829, 940, 1046, 1213, 1218, 1234, 1243, 1248]",Warlock
"[18, 18, 135, 135, 176, 176, 413, 413, 505, 505, 514, 514, 641, 641, 710, 710, 852, 852, 1079, 1119, 1140, 1201, 577, 722, 722, 940, 972, 972, 1048, 1253]",Warlock
"[17, 17, 81, 81, 176, 176, 182, 368, 368, 413, 413, 505, 505, 547, 547, 641, 641, 710, 710, 1005, 1005, 1079, 1136, 1136, 1165, 1165, 1201, 175, 1232, 1253]",Warlock
"[18, 18, 135, 135, 176, 176, 413, 413, 505, 505, 514, 514, 641, 641, 710, 710, 852, 852, 996, 1079, 1119, 1140, 1201, 722, 722, 940, 972, 972, 1048, 1253]",Warlock
"[17, 17, 84, 84, 173, 176, 176, 202, 202, 260, 260, 284, 284, 321, 599, 632, 632, 795, 795, 1038, 1038, 1167, 1167, 31, 137, 137, 189, 189, 449, 449]",Warlock
"[17, 17, 84, 84, 173, 173, 176, 176, 202, 202, 207, 207, 260, 260, 284, 321, 599, 795, 795, 1038, 1038, 1167, 1167, 31, 137, 137, 189, 189, 449, 449]",Warlock
"[176, 176, 182, 368, 368, 413, 413, 505, 505, 547, 547, 644, 710, 710, 996, 996, 1003, 1003, 1005, 1005, 1079, 1140, 1201, 1201, 1046, 1046, 1208, 1232, 1254, 1253]",Warlock
"[17, 17, 84, 84, 173, 173, 176, 176, 202, 202, 207, 207, 260, 260, 284, 321, 632, 632, 795, 795, 1038, 1038, 1167, 1167, 31, 31, 189, 189, 449, 449]",Warlock
"[182, 356, 356, 368, 368, 505, 505, 641, 641, 710, 710, 742, 742, 901, 901, 1005, 1005, 1079, 1201, 1201, 373, 373, 712, 712, 1211, 1211, 1232, 1243, 1254, 1253]",Warlock
"[17, 17, 84, 84, 173, 176, 176, 202, 202, 207, 207, 260, 260, 284, 321, 599, 632, 632, 795, 795, 1038, 1038, 1167, 1167, 31, 137, 189, 189, 449, 449]",Warlock
"[17, 81, 197, 356, 505, 644, 710, 742, 756, 901, 1005, 1079, 1165, 1201, 189, 213, 234, 350, 453, 550, 713, 935, 940, 1046, 1135, 1143, 1205, 1213, 1232, 1253]",Warlock
"[17, 121, 176, 356, 492, 505, 547, 641, 646, 710, 742, 756, 826, 842, 901, 1003, 1005, 1079, 1149, 1201, 213, 234, 269, 350, 453, 737, 883, 1046, 1213, 1232]",Warlock
