cards,class
"[9, 9, 153, 153, 165, 165, 170, 170, 226, 226, 230, 230, 375, 375, 460, 477, 477, 681, 681, 778, 778, 841, 841, 904, 904, 1098, 1098, 1171, 317, 317]",Warrior
"[170, 170, 178, 250, 378, 418, 418, 460, 655, 655, 841, 841, 963, 987, 987, 46, 46, 97, 97, 174, 174, 361, 361, 372, 372, 506, 506, 658, 712, 712]",Warrior
"[153, 153, 164, 164, 226, 226, 230, 230, 460, 472, 472, 477, 477, 487, 522, 522, 593, 652, 652, 772, 841, 841, 891, 891, 904, 904, 1226, 172, 940, 1137]",Warrior
"[36, 153, 170, 226, 230, 250, 295, 348, 472, 481, 487, 497, 522, 591, 593, 652, 772, 811, 814, 841, 891, 963, 1163, 1198, 453, 755, 940, 1019, 1213, 1232]",Warrior
"[100, 100, 170, 170, 199, 199, 305, 460, 655, 655, 778, 778, 811, 811, 904, 904, 910, 174, 174, 235, 235, 361, 361, 658, 658, 441, 441, 731, 731, 892]",Warrior
"[153, 153, 164, 164, 178, 226, 226, 230, 230, 460, 472, 472, 477, 477, 487, 522, 522, 593, 652, 652, 772, 841, 841, 891, 891, 904, 904, 1226, 172, 1137]",Warrior
"[153, 153, 164, 164, 178, 226, 226, 230, 230, 250, 348, 348, 460, 472, 477, 477, 487, 522, 522, 593, 652, 652, 772, 891, 891, 1226, 172, 940, 940, 1137]",Warrior
"[36, 153, 170, 184, 226, 230, 241, 250, 295, 348, 406, 472, 487, 497, 522, 591, 593, 652, 772, 811, 814, 841, 891, 957, 963, 1163, 1198, 1198, 453, 1213]",Warrior
"[9, 9, 153, 153, 165, 165, 230, 230, 254, 254, 305, 305, 375, 375, 481, 481, 793, 793, 92, 92, 215, 215, 237, 237, 429, 429, 441, 441, 777, 777]",Warrior
"[164, 164, 184, 199, 199, 250, 250, 348, 348, 472, 472, 497, 522, 522, 593, 652, 652, 863, 863, 891, 891, 904, 904, 910, 1097, 1117, 1163, 764, 764, 1048]",Warrior
"[93, 378, 378, 460, 472, 472, 497, 522, 593, 652, 652, 792, 792, 841, 841, 891, 891, 957, 963, 969, 969, 987, 987, 1163, 1226, 577, 829, 940, 1208, 1243]",Warrior
"[153, 170, 178, 184, 226, 250, 295, 348, 460, 472, 487, 497, 522, 591, 593, 652, 772, 811, 841, 891, 904, 963, 1163, 213, 453, 940, 1019, 1137, 1213, 1232]",Warrior
"[9, 9, 153, 153, 165, 170, 170, 226, 226, 230, 230, 274, 460, 477, 477, 481, 481, 522, 522, 593, 681, 681, 841, 841, 904, 904, 1098, 1098, 31, 31]",Warrior
"[106, 106, 283, 283, 295, 295, 315, 315, 348, 348, 497, 497, 593, 652, 652, 841, 841, 891, 891, 904, 1008, 1226, 213, 213, 731, 764, 764, 940, 940, 1137]",Warrior
"[153, 153, 178, 226, 226, 230, 230, 380, 380, 460, 469, 469, 477, 477, 481, 481, 497, 593, 778, 821, 821, 841, 841, 891, 891, 1117, 722, 972, 972, 1048]",Warrior
"[106, 106, 199, 199, 206, 250, 250, 315, 477, 477, 482, 593, 621, 621, 652, 772, 811, 821, 821, 836, 836, 863, 863, 874, 874, 910, 969, 969, 1117, 1163]",Warrior
"[36, 36, 93, 170, 170, 241, 241, 250, 274, 378, 378, 460, 472, 497, 497, 593, 621, 621, 652, 652, 841, 841, 891, 891, 963, 987, 987, 577, 829, 1243]",Warrior
"[36, 36, 164, 164, 178, 184, 184, 250, 348, 348, 472, 497, 497, 591, 591, 652, 652, 772, 891, 891, 1101, 1101, 1163, 1198, 1198, 1226, 1236, 1236, 696, 1248]",Warrior
"[153, 153, 164, 164, 170, 170, 184, 184, 226, 226, 230, 230, 250, 460, 472, 472, 477, 477, 593, 652, 652, 772, 811, 811, 891, 891, 904, 904, 172, 1137]",Warrior
"[9, 153, 153, 178, 178, 226, 226, 230, 230, 250, 274, 380, 380, 460, 469, 469, 477, 477, 481, 481, 593, 821, 821, 841, 1117, 31, 722, 722, 940, 1048]",Warrior
"[36, 153, 170, 184, 226, 230, 241, 250, 295, 348, 406, 472, 481, 487, 497, 522, 591, 593, 652, 772, 811, 814, 841, 891, 957, 963, 1163, 1198, 453, 1213]",Warrior
"[153, 164, 178, 206, 226, 230, 250, 283, 295, 348, 472, 487, 497, 522, 591, 593, 629, 652, 772, 814, 841, 891, 963, 969, 1008, 1163, 1226, 453, 1213, 1243]",Warrior
"[153, 153, 178, 226, 226, 230, 230, 380, 380, 460, 469, 469, 477, 477, 481, 481, 593, 778, 778, 821, 821, 841, 841, 891, 891, 1117, 722, 972, 972, 1048]",Warrior
"[164, 164, 184, 184, 295, 295, 348, 348, 472, 472, 497, 593, 652, 652, 772, 841, 841, 891, 891, 963, 969, 969, 1008, 1117, 1163, 712, 755, 1048, 1243, 1248]",Warrior
