cards,class
"[153, 153, 164, 226, 226, 230, 230, 250, 348, 348, 460, 472, 472, 477, 487, 497, 522, 522, 593, 652, 652, 841, 841, 891, 891, 1163, 1226, 940, 1232, 1254]",Warrior
"[32, 68, 228, 282, 296, 465, 502, 543, 567, 633, 699, 804, 815, 945, 964, 1013, 1060, 1107, 1114, 1130, 1239, 1246, 1251, 213, 234, 269, 453, 1205, 1213, 1254]",Mage
"[64, 64, 74, 74, 192, 249, 249, 312, 312, 509, 622, 622, 663, 663, 965, 965, 213, 304, 304, 550, 639, 639, 712, 712, 713, 713, 718, 718, 883, 883]",Hunter
"[149, 149, 318, 318, 364, 364, 483, 483, 553, 616, 616, 752, 752, 765, 765, 824, 900, 900, 1118, 1139, 1160, 1209, 1219, 1219, 1225, 1225, 696, 755, 1046, 1046]",Priest
"[17, 69, 69, 149, 149, 205, 205, 318, 318, 364, 364, 483, 483, 605, 616, 616, 707, 707, 765, 765, 1015, 1015, 1118, 1139, 1225, 972, 972, 1048, 1232, 1254]",Priest
"[164, 178, 206, 250, 295, 348, 472, 487, 497, 522, 591, 593, 629, 652, 772, 841, 891, 963, 1008, 1163, 1196, 1226, 453, 755, 935, 940, 1137, 1213, 1232, 1243]",Warrior
"[8, 8, 15, 15, 17, 17, 23, 23, 78, 78, 96, 96, 149, 149, 318, 318, 364, 364, 393, 393, 396, 396, 462, 462, 611, 611, 616, 616, 441, 441]",Priest
"[7, 7, 29, 29, 303, 303, 328, 328, 351, 400, 400, 556, 556, 717, 717, 761, 780, 780, 869, 869, 885, 885, 942, 942, 1037, 1127, 1128, 1175, 1216, 1216]",Paladin
"[10, 10, 12, 12, 13, 13, 61, 61, 126, 126, 302, 302, 334, 334, 411, 411, 448, 685, 748, 801, 801, 840, 840, 1032, 1229, 1034, 1034, 1180, 1218, 1254]",Druid
"[17, 17, 65, 65, 84, 84, 173, 173, 202, 202, 238, 284, 284, 289, 289, 321, 547, 547, 599, 599, 742, 742, 795, 795, 1038, 1038, 1062, 1062, 745, 745]",Warlock
"[224, 224, 303, 303, 351, 377, 377, 485, 485, 486, 486, 516, 691, 691, 761, 869, 869, 870, 870, 885, 885, 912, 912, 1216, 1216, 31, 31, 974, 974, 994]",Paladin
"[12, 12, 171, 171, 180, 180, 183, 183, 242, 242, 265, 265, 576, 645, 645, 664, 664, 684, 684, 911, 938, 107, 107, 189, 189, 449, 449, 441, 441, 782]",Shaman
"[2, 2, 16, 16, 19, 19, 133, 133, 140, 140, 159, 159, 204, 204, 281, 281, 292, 292, 427, 427, 444, 444, 497, 527, 521, 521, 635, 635, 939, 624]",Rogue
"[12, 12, 171, 171, 242, 242, 619, 619, 888, 888, 1220, 1220, 31, 31, 358, 358, 372, 372, 409, 409, 511, 511, 731, 731, 764, 764, 908, 908, 1249, 1249]",Shaman
"[81, 81, 121, 121, 182, 197, 197, 368, 368, 413, 413, 505, 505, 641, 641, 644, 644, 710, 710, 1005, 1005, 1069, 1069, 1079, 1140, 1165, 1201, 1201, 1232, 1253]",Warlock
"[64, 64, 74, 74, 249, 249, 312, 312, 513, 622, 622, 663, 689, 728, 965, 965, 213, 213, 287, 287, 639, 639, 712, 712, 713, 713, 737, 737, 883, 883]",Hunter
"[9, 9, 153, 153, 165, 165, 170, 170, 226, 226, 230, 230, 250, 460, 477, 477, 522, 522, 593, 681, 681, 778, 811, 841, 841, 904, 904, 1098, 1098, 1171]",Warrior
"[70, 185, 298, 376, 415, 436, 455, 459, 519, 530, 575, 631, 697, 769, 1070, 1104, 1111, 1162, 1221, 453, 506, 712, 713, 924, 966, 1019, 1143, 1213, 1243, 1253]",Demon Hunter
"[135, 135, 176, 176, 284, 284, 413, 413, 514, 514, 599, 599, 641, 641, 742, 742, 852, 852, 996, 996, 1079, 1119, 1140, 213, 213, 722, 722, 972, 972, 1048]",Warlock
"[7, 7, 29, 29, 303, 303, 328, 328, 593, 636, 636, 761, 869, 869, 942, 942, 1023, 1023, 1127, 1216, 1216, 31, 31, 132, 132, 332, 332, 908, 908, 1254]",Paladin
"[164, 164, 184, 184, 348, 348, 472, 472, 522, 522, 593, 652, 652, 841, 841, 891, 891, 1008, 1163, 1137, 1143, 1143, 1211, 1211, 1232, 1243, 1248, 1248, 1254, 1253]",Warrior
"[2, 2, 19, 19, 38, 72, 72, 133, 133, 159, 159, 204, 204, 245, 245, 281, 427, 427, 438, 438, 527, 521, 521, 853, 853, 939, 1031, 373, 373, 1254]",Rogue
"[110, 110, 115, 115, 139, 139, 143, 146, 146, 218, 218, 228, 262, 465, 465, 543, 543, 613, 613, 743, 743, 804, 804, 964, 964, 1013, 1013, 1114, 1251, 1254]",Mage
"[2, 2, 133, 133, 177, 177, 204, 204, 292, 292, 389, 389, 427, 427, 521, 521, 670, 670, 825, 825, 871, 982, 982, 31, 550, 667, 1046, 1046, 1248, 1248]",Rogue
"[356, 356, 413, 413, 505, 505, 547, 547, 599, 599, 641, 641, 710, 710, 901, 901, 1003, 1003, 1005, 1005, 1079, 1140, 1201, 350, 350, 712, 1143, 1143, 1205, 1253]",Warlock
"[12, 126, 126, 181, 181, 239, 239, 302, 302, 334, 334, 479, 685, 685, 801, 801, 1027, 1027, 1153, 1153, 1214, 1214, 175, 712, 1019, 1019, 1109, 1109, 1243, 1248]",Druid
"[32, 68, 109, 218, 228, 282, 296, 465, 499, 543, 567, 815, 939, 964, 1060, 1164, 1190, 1251, 175, 213, 442, 453, 550, 706, 713, 735, 898, 1046, 1135, 1213]",Mage
"[356, 356, 413, 413, 505, 505, 547, 547, 599, 599, 641, 641, 710, 710, 901, 901, 1003, 1003, 1005, 1005, 1079, 1140, 1201, 350, 350, 712, 1143, 1143, 1205, 1253]",Warlock
"[17, 149, 149, 318, 318, 364, 364, 533, 533, 765, 765, 809, 809, 900, 900, 1160, 1219, 1219, 1225, 1225, 696, 924, 924, 782, 1046, 1046, 1143, 1143, 1232, 1253]",Priest
"[12, 12, 151, 151, 171, 171, 183, 183, 242, 242, 480, 535, 619, 619, 888, 888, 1220, 1220, 31, 372, 511, 511, 731, 731, 764, 764, 908, 908, 1249, 1249]",Shaman
"[194, 194, 208, 208, 390, 390, 614, 614, 676, 676, 689, 791, 791, 816, 1054, 1105, 1105, 1181, 1181, 31, 31, 332, 332, 392, 449, 449, 667, 764, 924, 924]",Hunter
"[74, 74, 192, 249, 249, 312, 312, 622, 622, 663, 663, 728, 965, 965, 42, 42, 287, 287, 550, 550, 639, 639, 712, 712, 713, 713, 737, 737, 883, 883]",Hunter
"[12, 12, 171, 171, 242, 242, 480, 576, 619, 619, 888, 888, 1220, 1220, 31, 31, 189, 189, 275, 275, 511, 511, 731, 731, 764, 764, 908, 908, 1249, 1249]",Shaman
"[153, 153, 164, 164, 226, 226, 230, 230, 274, 348, 460, 472, 472, 477, 477, 487, 522, 522, 593, 652, 652, 841, 841, 891, 891, 904, 1117, 1226, 31, 132]",Warrior
